,onehotencoder__Gender_F,onehotencoder__Gender_M,onehotencoder__Discipline_CNF,onehotencoder__Discipline_CWT,onehotencoder__Discipline_CWTB,onehotencoder__Discipline_FIM,onehotencoder__Card_RED,onehotencoder__Card_WHITE,onehotencoder__Card_YELLOW,onehotencoder__Event Type_Competition,onehotencoder__Event Type_Depth Competition,onehotencoder__Event Type_Mixed Competition,onehotencoder__Event Type_Pool Competition,onehotencoder__Event Type_Team Competition,onehotencoder__Event Type_World Championship,onehotencoder__Event Type_Worldrecord attempt,remainder__Name,remainder__Country,remainder__AP,remainder__RP,remainder__Depth_Difference,remainder__Points,remainder__Remarks,remainder__Day,remainder__Month,remainder__Year,remainder__Experience Dive,remainder__Experience Discipline
57,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mandy-Rae Cruickshank/Krack,CAN,0,36,-36,36.0,OK,2000-01-01,1,2000,0,0
58,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Ronald Laurens,VEN,0,55,-55,55.0,OK,2000-01-01,1,2000,0,0
59,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sophie Passalaqua,FRA,0,46,-46,46.0,OK,2000-01-01,1,2000,0,0
60,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Maike Münster,DEU,0,43,-43,43.0,OK,2000-01-01,1,2000,0,0
61,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jessica Wilson,USA,0,38,-38,38.0,OK,2000-01-01,1,2000,0,0
62,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Béatrice Lecroq,FRA,0,37,-37,37.0,OK,2000-01-01,1,2000,0,0
63,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Johanna Nordblad,FIN,0,31,-31,31.0,OK,2000-01-01,1,2000,0,0
64,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Valia Racine,CHE,0,28,-28,28.0,OK,2000-01-01,1,2000,0,0
65,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Valérie Dubois,FRA,0,27,-27,27.0,OK,2000-01-01,1,2000,0,0
66,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Nicole Czychon,DEU,0,26,-26,26.0,OK,2000-01-01,1,2000,0,0
67,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Stéphanie Bormann,BEL,0,26,-26,26.0,OK,2000-01-01,1,2000,0,0
68,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Megumi Matsumoto,JPN,0,32,-32,32.0,OK,2000-01-01,1,2000,0,0
69,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,0,37,-37,37.0,OK,2000-01-01,1,2000,0,0
70,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Nobuko Kishida,JPN,0,30,-30,30.0,OK,2000-01-01,1,2000,0,0
71,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Nobuko Kishida,JPN,0,28,-28,28.0,OK,2000-01-01,1,2000,1,1
72,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Sebastian Schultz,USA,0,52,-52,52.0,OK,2000-01-01,1,2000,0,0
73,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Christine Lance,FRA,0,32,-32,32.0,OK,2000-01-01,1,2000,0,0
74,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Manolis Giankos,GRC,0,66,-66,66.0,OK,2000-01-01,1,2000,0,0
