Start,Diver,Gender,Discipline,Line,Official Top,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Category Event
1,Tasos Grillakis (GRC),M,FIM,,00:00,33,23 m,YELLOW,12.0,-,Depth Event 2016,Depth Competition,2016-07-17,other
2,Antonis Papantonatos (GRC),M,FIM,,00:00,55,47 m,YELLOW,38.0,-,Depth Event 2016,Depth Competition,2016-07-17,other
3,Dimitris Koumoulos (GRC),M,CNF,,00:00,55,55 m,WHITE,55.0,-,Depth Event 2016,Depth Competition,2016-07-17,other
4,Christos Papadopoulos (GRC),M,CWT,,00:00,55,55 m,WHITE,55.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other
5,Anna Chalari (GRC),F,CWT,,00:00,15,15 m,WHITE,15.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other
6,Alkisti Vouraki (GRC),F,CWT,,00:00,16,16 m,WHITE,16.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other
7,Stavroula Kontorousi (GRC),F,CWT,,00:00,20,20 m,WHITE,20.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other
8,Yuliya Ilkevich (BLR),F,CWT,,00:00,40,31 m,YELLOW,21.0,"SHORT, TAG",Depth Event 2016,Depth Competition,2016-07-17,other
9,Dimitris Tsigkounis (GRC),M,CWT,,00:00,40,26 m,YELLOW,11.0,"SHORT, TAG",Depth Event 2016,Depth Competition,2016-07-17,other
10,Emmanouil Marneros (GRC),M,CWT,,00:00,47,47 m,WHITE,47.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other
11,Antonios Marneros (GRC),M,CWT,,00:00,32,32 m,WHITE,32.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other
12,Yanis Volakakis (GRC),M,CWT,,00:00,55,55 m,WHITE,55.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other
13,Tony Helm (GRC),M,CWT,,00:00,55,55 m,WHITE,55.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other
14,Nikos Magounis (GRC),M,CWT,,00:00,25,25 m,WHITE,25.0,OK,Depth Event 2016,Depth Competition,2016-07-17,other
1,Reiko Asakura (JPN),F,FIM,,00:00,54,54 m,WHITE,54.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
2,Mitsuhiro Kojima (JPN),M,FIM,,00:00,55,55 m,WHITE,55.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
3,Sawako Maruyama (JPN),F,FIM,,00:00,58,35 m,WHITE,35.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
4,Shuichi Goto (JPN),M,FIM,,00:00,58,45 m,YELLOW,32.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
5,Tetsuo Hara (JPN),M,FIM,,00:00,70,70 m,WHITE,70.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
6,Naoto Yoshikawa (JPN),M,CWT,,00:00,48,48 m,RED,0.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
7,Atsushi Kawai (JPN),M,CWT,,00:00,57,57 m,RED,0.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
8,Naoko Yamada (JPN),F,CWT,,00:00,19,19 m,WHITE,19.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
9,Tomoko Kayama (JPN),F,CWT,,00:00,32,32 m,WHITE,32.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
10,Yuki Muto (JPN),F,CWT,,00:00,58,58 m,WHITE,58.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
11,Tadahiro Kobayashi (JPN),M,CWT,,00:00,65,46 m,YELLOW,27.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-23,other
1,Tadahiro Kobayashi (JPN),M,CWT,,00:00,65,57 m,YELLOW,49.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other
2,Yuki Muto (JPN),F,CWT,,00:00,61,61 m,WHITE,61.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other
3,Sawako Maruyama (JPN),F,CWT,,00:00,35,35 m,WHITE,61.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other
4,Tomoko Kayama (JPN),F,CWT,,00:00,34,34 m,WHITE,34.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other
5,Naoko Yamada (JPN),F,CWT,,00:00,25,22 m,YELLOW,19.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other
6,Shuichi Goto (JPN),M,CNF,,00:00,43,43 m,RED,0.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other
7,Naoto Yoshikawa (JPN),M,FIM,,00:00,56,48 m,YELLOW,40.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other
8,Tetsuo Hara (JPN),M,FIM,,00:00,75,75 m,WHITE,75.0,-,Okinawa Freediving Cup 2016,Depth Competition,2016-07-24,other
1,Gal Shtokhamer (ISR),F,CWT,,00:00,43,43 m,WHITE,43.0,0,Free 2 be,Depth Competition,2016-09-23,other
2,Vered Dekel (ISR),F,CWT,,00:00,47,47 m,WHITE,47.0,-,Free 2 be,Depth Competition,2016-09-23,other
3,Aran Gilead (ISR),M,CWT,,00:00,72,72 m,WHITE,72.0,-,Free 2 be,Depth Competition,2016-09-23,other
4,Shlomi Goldstein (ISR),M,CWT,,00:00,55,55 m,WHITE,55.0,-,Free 2 be,Depth Competition,2016-09-23,other
5,Ariel Kedmi (ISR),M,CWT,,00:00,55,55 m,WHITE,55.0,-,Free 2 be,Depth Competition,2016-09-23,other
6,Cornelius Friesendorf (DEU),M,CNF,,00:00,52,52 m,WHITE,52.0,-,Free 2 be,Depth Competition,2016-09-23,other
7,Tom Peled (ISR),M,FIM,,00:00,55,31 m,YELLOW,6.0,"Short, no tag",Free 2 be,Depth Competition,2016-09-23,other
8,Yair Zucker (ISR),M,FIM,,00:00,50,29 m,YELLOW,7.0,"AP<RP, no tag, Y-ET",Free 2 be,Depth Competition,2016-09-23,other
9,Alex Geyzner (ISR),M,CWT,,00:00,36,36 m,WHITE,36.0,-,Free 2 be,Depth Competition,2016-09-23,other
10,Stasia Spizhenko (UKR),F,FIM,,00:00,45,45 m,YELLOW,44.0,Y-before OT,Free 2 be,Depth Competition,2016-09-23,other
11,Ivan Suhrakov (ISR),M,FIM,,00:00,43,22 m,YELLOW,0.0,"RP AP, no tag, Y-ET",Free 2 be,Depth Competition,2016-09-23,other
12,Moty Toporkov (ISR),M,CWT,,00:00,40,25 m,RED,0.0,DQ SP,Free 2 be,Depth Competition,2016-09-23,other
13,Roded Korolczuk (ISR),M,CWT,,00:00,15,15 m,WHITE,15.0,-,Free 2 be,Depth Competition,2016-09-23,other
14,Xavier Chavanes (FRA),M,CWT,,00:00,56,56 m,YELLOW,51.0,Grab,Free 2 be,Depth Competition,2016-09-23,other
15,Yuval Bracha (ISR),F,FIM,,00:00,35,35 m,WHITE,35.0,NR,Free 2 be,Depth Competition,2016-09-23,other
16,Elad Anlen (ISR),M,CWT,,00:00,37,37 m,WHITE,37.0,-,Free 2 be,Depth Competition,2016-09-23,other
17,Amir Faheralden (SWE),M,CWT,,00:00,42,42 m,WHITE,42.0,-,Free 2 be,Depth Competition,2016-09-23,other
1,Vered Dekel (ISR),F,CWT,,00:00,51,51 m,WHITE,51.0,NR,Free 2 be,Depth Competition,2016-09-24,other
2,Shlomi Goldstein (ISR),M,CWT,,00:00,60,60 m,WHITE,60.0,-,Free 2 be,Depth Competition,2016-09-24,other
3,Aran Gilead (ISR),M,CWT,,00:00,70,70 m,WHITE,70.0,-,Free 2 be,Depth Competition,2016-09-24,other
4,Cornelius Friesendorf (DEU),M,FIM,,00:00,70,70 m,WHITE,70.0,-,Free 2 be,Depth Competition,2016-09-24,other
5,Gal Shtokhamer (ISR),F,FIM,,00:00,36,36 m,WHITE,36.0,-,Free 2 be,Depth Competition,2016-09-24,other
6,Ariel Kedmi (ISR),M,FIM,,00:00,60,60 m,WHITE,60.0,-,Free 2 be,Depth Competition,2016-09-24,other
7,Yair Zucker (ISR),M,FIM,,00:00,51,51 m,WHITE,51.0,-,Free 2 be,Depth Competition,2016-09-24,other
8,Tom Peled (ISR),M,FIM,,00:00,55,55 m,WHITE,55.0,-,Free 2 be,Depth Competition,2016-09-24,other
9,Ivan Chumis (ISR),M,FIM,,00:00,32,32 m,WHITE,32.0,-,Free 2 be,Depth Competition,2016-09-24,other
10,Stasia Spizhenko (UKR),F,FIM,,00:00,50,50 m,WHITE,50.0,-,Free 2 be,Depth Competition,2016-09-24,other
11,Alex Geyzner (ISR),M,CWT,,00:00,43,43 m,WHITE,43.0,-,Free 2 be,Depth Competition,2016-09-24,other
12,Roded Korolczuk (ISR),M,CWT,,00:00,16,16 m,WHITE,16.0,-,Free 2 be,Depth Competition,2016-09-24,other
13,Xavier Chavanes (FRA),M,CWT,,00:00,58,58 m,WHITE,58.0,-,Free 2 be,Depth Competition,2016-09-24,other
14,Yuval Bracha (ISR),F,FIM,,00:00,40,40 m,WHITE,40.0,NR,Free 2 be,Depth Competition,2016-09-24,other
15,Amir Faheralden (SWE),M,FIM,,00:00,44,44 m,WHITE,44.0,-,Free 2 be,Depth Competition,2016-09-24,other
16,Elad Anlen (ISR),M,CNF,,00:00,28,28 m,RED,0.0,DQ ??,Free 2 be,Depth Competition,2016-09-24,other
1,Rosibel Molina (CUB),F,CNF,,00:00,38,38 m,RED,0.0,Dqpull,Blue Element 2016,Depth Competition,2016-11-05,other
2,Johanna Loch-Allen (BRB),F,FIM,,00:00,50,50 m,WHITE,50.0,Ok,Blue Element 2016,Depth Competition,2016-11-05,other
3,Helena Beninger (AUT),F,FIM,,00:00,50,50 m,WHITE,50.0,Ok,Blue Element 2016,Depth Competition,2016-11-05,other
4,Georgina Miller (GBR),F,CWT,,00:00,58,58 m,YELLOW,53.0,Grab,Blue Element 2016,Depth Competition,2016-11-05,other
5,Jon Fane (GBR),M,CWT,,00:00,61,61 m,WHITE,61.0,Ok,Blue Element 2016,Depth Competition,2016-11-05,other
6,Sunyoung Kim (KOR),F,FIM,,00:00,61,61 m,RED,0.0,Dqbo-surface,Blue Element 2016,Depth Competition,2016-11-05,other
7,Nicolas Aubry (FRA),M,CNF,,00:00,63,57 m,YELLOW,50.0,No tag,Blue Element 2016,Depth Competition,2016-11-05,other
8,Sophie Jacquin (FRA),F,CWT,,00:00,77,77 m,WHITE,77.0,Ok,Blue Element 2016,Depth Competition,2016-11-05,other
9,Sofia Gomez (COL),F,CWT,,00:00,83,83 m,WHITE,83.0,Ok,Blue Element 2016,Depth Competition,2016-11-05,other
1,Johanna Loch-Allen (BRB),F,CWT,,00:00,46,46 m,WHITE,46.0,Ok,Blue Element 2016,Depth Competition,2016-11-07,other
2,Rosibel Molina (CUB),F,FIM,,00:00,52,52 m NR,WHITE,52.0,Ok,Blue Element 2016,Depth Competition,2016-11-07,other
3,Helena Beninger (AUT),F,FIM,,00:00,54,54 m,WHITE,54.0,Ok,Blue Element 2016,Depth Competition,2016-11-07,other
4,Sunyoung Kim (KOR),F,CWT,,00:00,55,55 m,WHITE,55.0,Ok,Blue Element 2016,Depth Competition,2016-11-07,other
5,Sofia Gomez (COL),F,CNF,,00:00,58,58 m,WHITE,58.0,Ok,Blue Element 2016,Depth Competition,2016-11-07,other
6,Jon Fane (GBR),M,FIM,,00:00,72,66 m,YELLOW,59.0,"No tag,under ap",Blue Element 2016,Depth Competition,2016-11-07,other
7,Jonathan Sunnex (NZL),M,FIM,,00:00,75,75 m,WHITE,75.0,Ok,Blue Element 2016,Depth Competition,2016-11-07,other
8,Dean Chaouche (GBR),M,CNF,,00:00,78,78 m,WHITE,78.0,Ok,Blue Element 2016,Depth Competition,2016-11-07,other
9,Sophie Jacquin (FRA),F,CWT,,00:00,80,80 m,WHITE,80.0,Ok,Blue Element 2016,Depth Competition,2016-11-07,other
10,Nicolas Girardin (FRA),M,CWT,,00:00,89,89 m,WHITE,89.0,Ok,Blue Element 2016,Depth Competition,2016-11-07,other
11,Adam Stern (AUS),M,CWT,,00:00,104,104 m,WHITE,104.0,Ok,Blue Element 2016,Depth Competition,2016-11-07,other
1,Rosibel Molina (CUB),F,CNF,,00:00,41,41 m,WHITE,41.0,Ok,Blue Element 2016,Depth Competition,2016-11-08,other
2,Nicolas Girardin (FRA),M,CNF,,00:00,50,50 m,WHITE,50.0,Ok,Blue Element 2016,Depth Competition,2016-11-08,other
3,Johanna Loch-Allen (BRB),F,FIM,,00:00,54,54 m NR,WHITE,54.0,Ok,Blue Element 2016,Depth Competition,2016-11-08,other
4,Helena Beninger (AUT),F,FIM,,00:00,57,57 m,WHITE,57.0,Ok,Blue Element 2016,Depth Competition,2016-11-08,other
5,Sunyoung Kim (KOR),F,CWT,,00:00,58,58 m,WHITE,58.0,Ok,Blue Element 2016,Depth Competition,2016-11-08,other
6,Georgina Miller (GBR),F,CWT,,00:00,58,50 m,YELLOW,41.0,No tag,Blue Element 2016,Depth Competition,2016-11-08,other
7,Jon Fane (GBR),M,FIM,,00:00,72,72 m,WHITE,72.0,Ok,Blue Element 2016,Depth Competition,2016-11-08,other
8,Jonathan Sunnex (NZL),M,CWT,,00:00,76,76 m,WHITE,76.0,Ok,Blue Element 2016,Depth Competition,2016-11-08,other
9,Sofia Gomez (COL),F,FIM,,00:00,82,82 m,WHITE,82.0,Ok,Blue Element 2016,Depth Competition,2016-11-08,other
10,Sophie Jacquin (FRA),F,CWT,,00:00,83,83 m,WHITE,83.0,Ok,Blue Element 2016,Depth Competition,2016-11-08,other
11,Dean Chaouche (GBR),M,FIM,,00:00,91,91 m,WHITE,91.0,Ok,Blue Element 2016,Depth Competition,2016-11-08,other
1,Rosibel Molina (CUB),F,FIM,,00:00,56,56 m,RED,0.0,Dqother,Blue Element 2016,Depth Competition,2016-11-10,other
2,Sophie Jacquin (FRA),F,FIM,,00:00,76,76 m,WHITE,76.0,Ok,Blue Element 2016,Depth Competition,2016-11-10,other
3,Georgina Miller (GBR),F,CWT,,00:00,57,53 m,YELLOW,48.0,"No tag,under ap",Blue Element 2016,Depth Competition,2016-11-10,other
4,Sunyoung Kim (KOR),F,CWT,,00:00,61,61 m,WHITE,61.0,Ok,Blue Element 2016,Depth Competition,2016-11-10,other
5,Adam Stern (AUS),M,CWT,,00:00,107,53 m,YELLOW,0.0,"No tag,under ap",Blue Element 2016,Depth Competition,2016-11-10,other
6,Mathieu Maraio (FRA),M,CNF,,00:00,55,55 m,WHITE,55.0,Ok,Blue Element 2016,Depth Competition,2016-11-10,other
7,Jonathan Sunnex (NZL),M,CNF,,00:00,52,52 m,WHITE,52.0,Ok,Blue Element 2016,Depth Competition,2016-11-10,other
8,Jon Fane (GBR),M,FIM,,00:00,75,70 m,YELLOW,64.0,No tag,Blue Element 2016,Depth Competition,2016-11-10,other
9,Nicolas Girardin (FRA),M,FIM,,00:00,68,68 m,WHITE,68.0,Ok,Blue Element 2016,Depth Competition,2016-11-10,other
10,Sofia Gomez (COL),F,FIM,,00:00,86,86 m CR,WHITE,86.0,Ok,Blue Element 2016,Depth Competition,2016-11-10,other
1,Rosibel Molina (CUB),F,CNF,,00:00,42,42 m NR,WHITE,42.0,Ok,Blue Element 2016,Depth Competition,2016-11-11,other
2,Sophie Jacquin (FRA),F,CWT,,00:00,42,42 m,WHITE,42.0,Ok,Blue Element 2016,Depth Competition,2016-11-11,other
3,Johanna Loch-Allen (BRB),F,CWT,,00:00,50,50 m,WHITE,50.0,Ok,Blue Element 2016,Depth Competition,2016-11-11,other
4,Nicolas Girardin (FRA),M,CNF,,00:00,56,56 m,WHITE,56.0,Ok,Blue Element 2016,Depth Competition,2016-11-11,other
5,Helena Beninger (AUT),F,FIM,,00:00,60,52 m,YELLOW,43.0,"No tag,under ap",Blue Element 2016,Depth Competition,2016-11-11,other
6,Sunyoung Kim (KOR),F,CWT,,00:00,64,64 m,WHITE,64.0,Ok,Blue Element 2016,Depth Competition,2016-11-11,other
7,Jon Fane (GBR),M,FIM,,00:00,75,75 m,WHITE,75.0,Ok,Blue Element 2016,Depth Competition,2016-11-11,other
8,Mathieu Maraio (FRA),M,FIM,,00:00,80,80 m,WHITE,80.0,Ok,Blue Element 2016,Depth Competition,2016-11-11,other
9,Sofia Gomez (COL),F,FIM,,00:00,90,90 m,RED,0.0,Dqbo-surface,Blue Element 2016,Depth Competition,2016-11-11,other
10,Adam Stern (AUS),M,FIM,,00:00,90,90 m,WHITE,90.0,Ok,Blue Element 2016,Depth Competition,2016-11-11,other
11,Dean Chaouche (GBR),M,CWT,,00:00,104,104 m,RED,0.0,Dqbo-surface,Blue Element 2016,Depth Competition,2016-11-11,other
1,Virginie Mafiodo (FRA),F,CWT,,00:00,32,32 m,WHITE,32.0,-,2016 Yazbeck China Depth National Championship,Depth Competition,2016-08-15,other
2,Aolin Wang (CHN),M,CWT,,00:00,96,96 m,WHITE,96.0,NR,2016 Yazbeck China Depth National Championship,Depth Competition,2016-08-15,other
3,Chao Shen (CHN),M,CWT,,00:00,78,78 m,RED,0.0,DQ BO,2016 Yazbeck China Depth National Championship,Depth Competition,2016-08-15,other
4,Jin Yi Zhu (CHN),M,FIM,,00:00,83,83 m,WHITE,83.0,-,2016 Yazbeck China Depth National Championship,Depth Competition,2016-08-15,other
5,Joan Capdevila (ESP),M,FIM,,00:00,68,68 m,WHITE,68.0,,2016 Yazbeck China Depth National Championship,Depth Competition,2016-08-15,other
1,Virginie Mafiodo (FRA),F,FIM,,00:00,42,42 m,WHITE,42.0,-,2016 Yazbeck China Depth National Championship,Depth Competition,2016-08-16,other
2,Jin Yi Zhu (CHN),M,FIM,,00:00,86,86 m,RED,0.0,DQ BO,2016 Yazbeck China Depth National Championship,Depth Competition,2016-08-16,other
3,Joan Capdevila (ESP),M,FIM,,00:00,72,72 m,WHITE,72.0,-,2016 Yazbeck China Depth National Championship,Depth Competition,2016-08-16,other
4,Chao Shen (CHN),M,CWT,,00:00,78,78 m,RED,0.0,DQ BO,2016 Yazbeck China Depth National Championship,Depth Competition,2016-08-16,other
1,Marc Casty (CHE),M,CWT,,00:00,31,24 m,YELLOW,16.0,-,Schweizer Meisterschaft im Tieftauchen 2016 / Swiss Deepdiving Championship 2016,Depth Competition,2016-09-24,other
2,Christian Langer (CHE),M,CWT,,00:00,53,53 m,WHITE,53.0,-,Schweizer Meisterschaft im Tieftauchen 2016 / Swiss Deepdiving Championship 2016,Depth Competition,2016-09-24,other
3,Iwan Gojnik (CHE),M,CWT,,00:00,50,50 m,RED,0.0,DQSP,Schweizer Meisterschaft im Tieftauchen 2016 / Swiss Deepdiving Championship 2016,Depth Competition,2016-09-24,other
4,Florian Pedroletti (CHE),M,CWT,,00:00,46,46 m,WHITE,46.0,-,Schweizer Meisterschaft im Tieftauchen 2016 / Swiss Deepdiving Championship 2016,Depth Competition,2016-09-24,other
5,Gysin Philippe (CHE),M,CWT,,00:00,38,38 m,WHITE,38.0,-,Schweizer Meisterschaft im Tieftauchen 2016 / Swiss Deepdiving Championship 2016,Depth Competition,2016-09-24,other
1,Jaakko Keskitalo (FIN),M,CWT,,00:00,50,50 m,WHITE,50.0,-,Asikkala Depth Challenge 2016,Depth Competition,2016-08-21,other
2,Soteris Georgiou (CYP),M,CWT,,00:00,35,35 m,WHITE,35.0,-,Asikkala Depth Challenge 2016,Depth Competition,2016-08-21,other
3,Jyri Vehmaskoski (FIN),M,CWT,,00:00,53,53 m,RED,0.0,DQ SP,Asikkala Depth Challenge 2016,Depth Competition,2016-08-21,other
4,Mikko Pöntinen (FIN),M,CNF,,00:00,40,40 m,WHITE,40.0,-,Asikkala Depth Challenge 2016,Depth Competition,2016-08-21,other
5,Lauri Aalto (FIN),M,FIM,,00:00,47,47 m,WHITE,47.0,-,Asikkala Depth Challenge 2016,Depth Competition,2016-08-21,other
6,Erki Enkvist (EST),M,FIM,,00:00,46,46 m,WHITE,46.0,NR,Asikkala Depth Challenge 2016,Depth Competition,2016-08-21,other
7,Kristian Mäki-Jussila (FIN),M,FIM,,00:00,50,50 m,WHITE,50.0,-,Asikkala Depth Challenge 2016,Depth Competition,2016-08-21,other
8,Paula Hietanen (FIN),F,FIM,,00:00,30,30 m,WHITE,30.0,-,Asikkala Depth Challenge 2016,Depth Competition,2016-08-21,other
9,Noora Norokytö (FIN),F,FIM,,00:00,27,27 m,WHITE,27.0,-,Asikkala Depth Challenge 2016,Depth Competition,2016-08-21,other
1,Sunyoung Kim (KOR),F,CWT,,00:00,60,60 m,WHITE,60.0,Ok,August Qualifier Competition,Depth Competition,2016-08-15,other
1,Sunyoung Kim (KOR),F,FIM,,00:00,56,56 m,WHITE,56.0,Ok,August Qualifier Competition,Depth Competition,2016-08-16,other
2,Michel Filinis2 (BRA),M,FIM,,00:00,52,52 m,WHITE,52.0,Ok,August Qualifier Competition,Depth Competition,2016-08-16,other
1,Michel Filinis2 (BRA),M,FIM,,00:00,55,55 m,WHITE,55.0,Ok,August Qualifier Competition,Depth Competition,2016-08-17,other
1,Maxime Gardien (FRA),M,FIM,,00:00,67,67 m,WHITE,67.0,Ok,August Qualifier Competition,Depth Competition,2016-08-18,other
1,Frank Pernett (SWE),M,CWT,,00:00,47,47 m,WHITE,47.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-20,other
2,David Velásquez (COL),M,FIM,,00:00,53,46 m,YELLOW,38.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-20,other
3,Ian Almasi (USA),M,FIM,,00:00,45,31 m,YELLOW,16.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-20,other
4,Katherine Marroquin (COL),F,FIM,,00:00,35,27 m,RED,0.0,DQ SP,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-20,other
1,David Velásquez (COL),M,CWT,,00:00,50,50 m,WHITE,50.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-21,other
2,Ian Almasi (USA),M,CWT,,00:00,40,40 m,WHITE,40.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-21,other
3,Frank Pernett (SWE),M,CNF,,00:00,45,45 m,WHITE,45.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-21,other
4,Katherine Marroquin (COL),F,FIM,,00:00,35,35 m,WHITE,35.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-21,other
1,Ian Almasi (USA),M,CWT,,00:00,45,45 m,WHITE,45.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-22,other
2,David Velásquez (COL),M,CNF,,00:00,48,48 m,WHITE,48.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-22,other
3,Frank Pernett (SWE),M,FIM,,00:00,50,50 m,WHITE,50.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-22,other
4,Katherine Marroquin (COL),F,FIM,,00:00,38,18 m,YELLOW,0.0,"Short, no tag",COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-22,other
1,Frank Pernett (SWE),M,CWT,,00:00,50,50 m,WHITE,50.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-23,other
2,Carlos Correa (COL),M,CNF,,00:00,53,53 m,WHITE,53.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-23,other
3,Ian Almasi (USA),M,FIM,,00:00,41,41 m,WHITE,41.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-23,other
4,David Velásquez (COL),M,FIM,,00:00,55,55 m,WHITE,55.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-23,other
5,Sebastian Alamoso (CHL),M,FIM,,00:00,44,44 m,WHITE,44.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-23,other
1,Carlos Correa (COL),M,FIM,,00:00,55,55 m,WHITE,55.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-24,other
2,David Velásquez (COL),M,FIM,,00:00,56,56 m,WHITE,56.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-24,other
3,Katherine Marroquin (COL),F,FIM,,00:00,38,38 m,WHITE,38.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-24,other
4,Ian Almasi (USA),M,FIM,,00:00,47,47 m,WHITE,47.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-24,other
5,Frank Pernett (SWE),M,CNF,,00:00,48,0 m,RED,0.0,DNS,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-24,other
1,Ian Almasi (USA),M,CNF,,00:00,30,21 m,RED,0.0,DQ SP,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-25,other
2,Frank Pernett (SWE),M,FIM,,00:00,53,53 m,WHITE,53.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-25,other
3,Katherine Marroquin (COL),F,FIM,,00:00,40,23 m,WHITE,5.0,"Short, no tag",COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-25,other
4,David Velásquez (COL),M,CWT,,00:00,53,53 m,WHITE,53.0,-,COPA AIDA DELPHINUS 2016,Depth Competition,2016-11-25,other
1,Avraam Kartapanis (CYP),M,CWT,,00:00,30,30 m,WHITE,30.0,-,Infinity Depth Games II,Depth Competition,2016-10-02,other
2,Gal Shtokhamer (ISR),F,CWT,,00:00,44,44 m,WHITE,44.0,-,Infinity Depth Games II,Depth Competition,2016-10-02,other
3,Erki Enkvist (EST),M,FIM,,00:00,52,52 m,WHITE,52.0,National Record for Estonia,Infinity Depth Games II,Depth Competition,2016-10-02,other
4,Isabel Sanchez Aran (ESP),F,FIM,,00:00,46,46 m,WHITE,46.0,National Record for Spain,Infinity Depth Games II,Depth Competition,2016-10-02,other
5,Kyriakos Lefkonitziatis (CYP),M,CNF,,00:00,42,33 m,YELLOW,23.0,Short no tag.,Infinity Depth Games II,Depth Competition,2016-10-02,other
6,Maria Sitti (CYP),F,CWT,,00:00,35,35 m,RED,0.0,Red DQ AIRWAYS,Infinity Depth Games II,Depth Competition,2016-10-02,other
7,Marinos Kartapanis (CYP),M,FIM,,00:00,30,12 m,YELLOW,0.0,Short no Tag.,Infinity Depth Games II,Depth Competition,2016-10-02,other
1,Erki Enkvist (EST),M,CWT,,00:00,51,51 m,WHITE,51.0,-,Infinity Depth Games II,Depth Competition,2016-10-03,other
2,Gal Shtokhamer (ISR),F,CWT,,00:00,48,42 m,YELLOW,35.0,Short no tag.,Infinity Depth Games II,Depth Competition,2016-10-03,other
3,Erki Enkvist (EST),M,CNF,,00:00,47,47 m,WHITE,47.0,National Record for Estonia.,Infinity Depth Games II,Depth Competition,2016-10-03,other
4,Isabel Sanchez Aran (ESP),F,FIM,,00:00,50,50 m,WHITE,50.0,National Record for Spain.,Infinity Depth Games II,Depth Competition,2016-10-03,other
5,Gal Shtokhamer (ISR),F,FIM,,00:00,42,42 m,WHITE,42.0,National Record for Israel.,Infinity Depth Games II,Depth Competition,2016-10-03,other
6,Ken Tomson (EST),M,FIM,,00:00,31,31 m,WHITE,31.0,-,Infinity Depth Games II,Depth Competition,2016-10-03,other
7,Panagiotis Antoniou (CYP),M,CWT,,00:00,40,5 m,RED,0.0,RED DQSP,Infinity Depth Games II,Depth Competition,2016-10-03,other
1,Mara Torrealba Pascuet (ESP),F,FIM,,00:00,55,37 m,YELLOW,18.0,,Open Costa Brava,Depth Competition,2016-09-10,other
2,Gines Gomez Ubeda (ESP),M,FIM,,00:00,31,31 m,WHITE,31.0,-,Open Costa Brava,Depth Competition,2016-09-10,other
3,Sergio Bernat (ESP),M,CNF,,00:00,51,51 m,WHITE,51.0,-,Open Costa Brava,Depth Competition,2016-09-10,other
